pm10,temp,bp,rh,ws,co,o3,nox,so2,pm2.5
0.5255,0.8,0.931,0.8916,0,0.285,0.5545,0.3078,0.079,410
0.5255,0.8,0.931,0.8072,0,0.25,0.5545,0.2612,0.0265,410
0.464,0.8,0.931,0.7831,0.037,0.251,0.1633,0.2678,0.0295,338
0.464,0.7,0.931,0.747,0.037,0.246,0.4798,0.2904,0.046,338
0.464,0.65,0.9655,0.7108,0.0556,0.279,0.4487,0.4054,0.0831,338
0.464,0.6,0.9655,0.6988,0.037,0.309,0.2137,0.4642,0.0971,338
0.5798,0.6,0.9655,0.6627,0.0741,0.309,0.1291,0.4004,0.1026,421
0.5798,0.6,0.9655,0.6024,0.0741,0.302,0.096,0.3074,0.1286,421
0.5798,0.6,0.9655,0.5904,0.1296,0.25,0.1191,0.2458,0.079,421
0.5798,0.6,0.9655,0.5663,0.0741,0.246,0.1601,0.2202,0.1592,421
0.6027,0.6,0.9655,0.5422,0.1111,0.2,0.3626,0.199,0.2012,436
0.6027,0.6,0.9655,0.5301,0.1481,0.158,0.4161,0.168,0.2182,436
0.6027,0.5,0.9655,0.5301,0.0926,0.187,0.7419,0.158,0.3338,436
0.6027,0.4,0.9655,0.4819,0.2037,0.164,0.3021,0.1568,0.2467,436
0.4411,0.4,0.9655,0.4578,0.2037,0.164,0.1663,0.1106,0.1522,301
0.4411,0.35,0.9655,0.4578,0.2037,0.141,0.1625,0.1168,0.1286,301
0.4411,0.35,0.9655,0.4337,0.1852,0.105,0.16,0.0978,0.079,301
0.4411,0.4,0.9655,0.4337,0.1111,0.118,0.1845,0.101,0.1261,301
0.2763,0.4,0.9655,0.4337,0.2407,0.115,0.1927,0.1072,0.1086,179
0.2763,0.4,0.9655,0.4458,0.2222,0.136,0.2279,0.1098,0.1011,179
0.2763,0.35,0.9655,0.4458,0.1852,0.127,0.2346,0.1092,0.0951,179
0.2763,0.35,0.9655,0.4578,0.3704,0.159,0.2524,0.1142,0.0936,179
0.3597,0.4,0.9655,0.4578,0.3333,0.159,0.2872,0.124,0.0901,220
0.3597,0.35,0.9655,0.4337,0.3889,0.119,0.3237,0.1112,0.0996,220
0.3597,0.4,0.9655,0.4096,0.3889,0.095,0.3021,0.081,0.079,220
0.3597,0.4,0.9655,0.4096,0.4815,0.08,0.2835,0.0768,0.1031,220
0.2722,0.4,0.9655,0.4217,0.3333,0.079,0.3502,0.0726,0.1076,149
0.2722,0.4,0.9655,0.4217,0.4074,0.065,0.3224,0.0612,0.1046,149
0.2722,0.6,0.9655,0.4217,0.2963,0.071,0.3175,0.059,0.1006,149
0.2722,0.5,0.9655,0.4337,0.2963,0.07,0.286,0.062,0.1131,149
0.244,0.5,0.9655,0.4096,0.2222,0.07,0.4203,0.0686,0.1421,142
0.244,0.6,0.931,0.4096,0.2963,0.078,0.304,0.0698,0.1006,142
0.244,0.6,0.931,0.4096,0.1852,0.082,0.3021,0.0698,0.079,142
0.244,0.6,0.931,0.4096,0.1852,0.086,0.2497,0.0944,0.0966,142
0.2357,0.6,0.931,0.4217,0.2037,0.088,0.1681,0.1044,0.0861,116
0.2357,0.7,0.931,0.4337,0.1481,0.116,0.1143,0.1178,0.0751,116
0.2357,0.55,0.931,0.4458,0.2037,0.116,0.1066,0.1204,0.0691,116
0.2357,0.6,0.931,0.4699,0.1296,0.129,0.065,0.1292,0.0651,116
0.268,0.7,0.931,0.494,0.0556,0.129,0.0221,0.1426,0.0606,131
0.268,0.7,0.931,0.5181,0.037,0.21,0.0033,0.1696,0.0581,131
0.268,0.7,0.931,0.5301,0.0926,0.226,0.0065,0.1896,0.079,131
0.268,0.7,0.931,0.5422,0.0741,0.24,0.0047,0.2102,0.0516,131
0.3431,0.7,0.931,0.5542,0.0741,0.234,0.0069,0.2094,0.0526,175
0.3431,0.75,0.931,0.5663,0.0741,0.274,0.0018,0.2478,0.0531,175
