pm10,temp,bp,rh,ws,co,o3,nox,so2
0.413,0.444,0.931,0.542,0.148,0.231,0.505,0.23,0.217
0.468,0.444,0.931,0.542,0.13,0.225,0.246,0.213,0.207
0.468,0.444,0.931,0.542,0.204,0.222,0.144,0.201,0.145
0.468,0.5,0.931,0.542,0.296,0.187,0.049,0.182,0.126
0.468,0.556,0.931,0.554,0.241,0.173,0.032,0.164,0.109
0.494,0.556,0.931,0.554,0.185,0.142,0.026,0.152,0.077
0.494,0.5,0.931,0.566,0.167,0.135,0.038,0.138,0.062
0.494,0.5,0.931,0.578,0.222,0.108,0.054,0.122,0.078
0.494,0.556,0.931,0.578,0.222,0.101,0.075,0.107,0.056
0.302,0.556,0.931,0.59,0.185,0.094,0.084,0.099,0.065
0.302,0.556,0.931,0.602,0.111,0.099,0.062,0.102,0.066
0.302,0.778,0.931,0.614,0.148,0.073,0.056,0.105,0.059
0.302,0.889,0.931,0.627,0.148,0.08,0.034,0.111,0.053
0.273,1.0,0.931,0.651,0.093,0.164,0.022,0.121,0.043
0.273,0.889,0.931,0.651,0.056,0.101,0.008,0.133,0.037
0.273,0.667,0.931,0.687,0.0,0.107,0.005,0.147,0.078
0.273,0.778,0.931,0.711,0.019,0.107,0.022,0.146,0.028
0.252,0.833,0.931,0.711,0.019,0.109,0.074,0.123,0.022
0.252,0.889,0.931,0.759,0.037,0.13,0.885,0.127,0.031
0.252,0.889,0.931,0.723,0.13,0.155,0.483,0.139,0.046
0.252,0.889,0.931,0.687,0.13,0.116,0.04,0.126,0.039
0.309,0.833,0.931,0.711,0.167,0.104,0.166,0.097,0.149
0.309,0.833,0.931,0.723,0.111,0.095,0.166,0.083,0.08
0.276,0.889,0.931,0.735,0.0,0.096,0.166,0.078,0.055
0.276,0.889,0.931,0.747,0.074,0.095,0.166,0.074,0.042
0.276,0.778,0.931,0.723,0.093,0.101,0.166,0.07,0.04
0.276,0.667,0.931,0.711,0.111,0.096,0.166,0.068,0.039
0.246,0.556,0.931,0.723,0.056,0.084,0.166,0.057,0.035
0.246,0.556,0.897,0.759,0.0,0.085,0.166,0.055,0.032
0.226,0.556,0.897,0.795,0.037,0.088,0.166,0.054,0.031
0.226,0.556,0.897,0.795,0.111,0.109,0.166,0.056,0.03
0.226,0.556,0.897,0.795,0.167,0.135,0.166,0.089,0.031
0.226,0.556,0.931,0.807,0.093,0.138,0.166,0.151,0.032
0.297,0.556,0.931,0.795,0.204,0.138,0.166,0.205,0.033
0.297,0.556,0.931,0.807,0.222,0.141,0.166,0.209,0.034
0.294,0.556,0.931,0.819,0.111,0.134,0.166,0.197,0.032
0.274,0.833,0.931,0.819,0.074,0.197,0.166,0.16,0.028
0.274,0.889,0.931,0.747,0.167,0.194,0.166,0.202,0.033
0.402,0.889,0.931,0.711,0.13,0.189,0.166,0.219,0.035
0.402,0.778,0.966,0.663,0.074,0.166,0.012,0.216,0.044
0.402,0.667,0.966,0.627,0.111,0.156,0.013,0.184,0.06
0.402,0.667,0.966,0.578,0.093,0.15,0.026,0.17,0.068
0.316,0.667,0.966,0.542,0.167,0.169,0.047,0.158,0.076
0.316,0.667,0.966,0.518,0.148,0.159,0.047,0.155,0.092
0.316,0.667,0.966,0.482,0.185,0.143,0.066,0.152,0.078
0.316,0.611,0.966,0.47,0.111,0.159,0.062,0.151,0.102
0.333,0.556,0.966,0.434,0.148,0.162,0.074,0.154,0.105
0.333,0.667,0.966,0.373,0.167,0.135,0.12,0.142,0.106
0.333,0.556,0.966,0.373,0.241,0.141,0.126,0.131,0.1
0.333,0.444,0.966,0.349,0.222,0.117,0.137,0.118,0.092
0.278,0.444,0.966,0.313,0.259,0.095,0.162,0.097,0.076
0.278,0.444,0.966,0.301,0.222,0.086,0.187,0.079,0.068
0.278,0.444,0.966,0.265,0.352,0.077,0.207,0.068,0.078
0.278,0.444,0.966,0.253,0.333,0.064,0.238,0.057,0.065
0.169,0.444,0.966,0.253,0.296,0.06,0.275,0.05,0.063
0.169,0.444,0.966,0.253,0.407,0.055,0.302,0.045,0.074
0.169,0.444,0.966,0.253,0.389,0.051,0.308,0.043,0.084
0.169,0.444,0.966,0.265,0.519,0.048,0.315,0.04,0.081
0.16,0.444,0.966,0.277,0.37,0.095,0.32,0.04,0.075
0.16,0.444,0.966,0.277,0.352,0.069,0.306,0.044,0.074
0.16,0.444,0.966,0.289,0.315,0.069,0.31,0.043,0.078
0.16,0.444,0.966,0.301,0.426,0.071,0.45,0.046,0.16
0.185,0.444,0.966,0.301,0.444,0.068,0.324,0.051,0.15
0.185,0.444,0.966,0.313,0.407,0.064,0.319,0.047,0.091
0.185,0.556,0.966,0.325,0.37,0.077,0.282,0.047,0.09
0.185,0.667,0.966,0.325,0.352,0.075,0.26,0.05,0.09
0.186,0.556,0.966,0.337,0.426,0.142,0.264,0.054,0.092
0.186,0.667,0.966,0.337,0.481,0.075,0.662,0.056,0.235
0.186,0.667,0.966,0.337,0.463,0.068,0.445,0.057,0.078
0.186,0.667,0.966,0.361,0.352,0.068,0.284,0.059,0.148
0.203,0.667,0.966,0.386,0.426,0.079,0.341,0.064,0.2
0.203,0.667,0.966,0.386,0.463,0.075,0.464,0.064,0.164
0.203,0.667,0.931,0.446,0.407,0.084,0.16,0.064,0.107
0.203,0.667,0.931,0.47,0.278,0.095,0.162,0.067,0.072
0.238,0.778,0.931,0.47,0.315,0.122,0.157,0.075,0.085
0.238,0.778,0.931,0.494,0.407,0.107,0.34,0.075,0.088
0.238,0.778,0.931,0.53,0.407,0.108,0.179,0.07,0.078
0.238,0.778,0.931,0.542,0.259,0.134,0.124,0.076,0.064
0.28,0.778,0.931,0.53,0.278,0.147,0.12,0.106,0.071
0.28,0.778,0.931,0.53,0.259,0.15,0.081,0.122,0.067
0.28,0.778,0.931,0.53,0.185,0.164,0.068,0.137,0.068
0.28,0.667,0.931,0.53,0.167,0.173,0.153,0.144,0.085
0.304,0.556,0.931,0.53,0.111,0.142,0.169,0.166,0.103
0.304,0.444,0.931,0.518,0.167,0.167,0.127,0.16,0.105
0.304,0.444,0.931,0.53,0.093,0.171,0.038,0.133,0.078
0.304,0.444,0.931,0.542,0.093,0.172,0.034,0.133,0.065
0.344,0.444,0.931,0.554,0.037,0.174,0.009,0.132,0.058
0.344,0.444,0.931,0.554,0.111,0.181,0.027,0.142,0.055
0.344,0.444,0.931,0.554,0.111,0.173,0.025,0.143,0.053
0.344,0.556,0.931,0.554,0.093,0.163,0.032,0.127,0.052
0.334,0.5,0.931,0.566,0.074,0.097,0.028,0.126,0.053
0.334,0.556,0.931,0.566,0.056,0.163,0.11,0.15,0.058
0.334,0.556,0.931,0.578,0.019,0.166,0.462,0.161,0.078
0.334,0.556,0.931,0.59,0.0,0.167,0.468,0.148,0.115
0.327,0.556,0.931,0.627,0.019,0.184,0.44,0.145,0.12
0.327,0.556,0.931,0.59,0.185,0.181,0.154,0.166,0.121
0.327,0.667,0.931,0.566,0.296,0.094,0.025,0.095,0.074
0.327,0.889,0.931,0.554,0.278,0.07,0.08,0.065,0.059
0.244,0.778,0.931,0.542,0.278,0.122,0.097,0.057,0.05
0.244,0.556,0.931,0.566,0.463,0.07,0.107,0.059,0.05
0.244,0.667,0.931,0.59,0.204,0.075,0.095,0.058,0.078
0.244,0.778,0.931,0.614,0.167,0.072,0.081,0.061,0.053
0.188,0.778,0.931,0.614,0.093,0.065,0.101,0.062,0.054
0.188,0.778,0.931,0.639,0.13,0.073,0.094,0.062,0.047
0.188,0.778,0.931,0.639,0.056,0.087,0.43,0.061,0.077
0.188,0.778,0.931,0.627,0.019,0.097,0.396,0.065,0.093
0.191,0.778,0.931,0.639,0.074,0.122,0.376,0.072,0.074
0.191,0.778,0.931,0.651,0.111,0.115,0.183,0.085,0.059
0.191,0.778,0.931,0.663,0.111,0.112,0.078,0.124,0.078
0.191,0.778,0.931,0.675,0.111,0.12,0.058,0.155,0.049
0.234,0.778,0.931,0.675,0.148,0.123,0.06,0.174,0.042
0.234,0.778,0.931,0.663,0.241,0.135,0.025,0.179,0.036
0.234,0.778,0.931,0.663,0.185,0.15,0.037,0.197,0.038
0.234,0.667,0.931,0.699,0.056,0.156,0.045,0.221,0.04
0.246,0.556,0.931,0.735,0.019,0.142,0.084,0.223,0.036
0.246,0.556,0.931,0.759,0.037,0.139,0.136,0.218,0.032
0.246,0.556,0.931,0.759,0.037,0.128,0.131,0.202,0.078
0.246,0.556,0.931,0.747,0.056,0.123,0.162,0.184,0.029
0.225,0.556,0.931,0.735,0.037,0.11,0.137,0.157,0.026
